date,product,category,unit_price,quantity_sold,revenue
2023-01-05,Coca Cola 60cl,Beverages,300,14,4200
2023-01-05,Malta Guinness,Beverages,350,7,2450
2023-01-05,Close Up Toothpaste,Toiletries,500,3,1500
2023-01-05,Omo Detergent,Toiletries,400,6,2400
2023-01-05,Dettol Soap,Toiletries,600,1,600
2023-01-05,Vaseline Jelly,Toiletries,700,4,2800
2023-01-05,Titus Sardine,Food,900,7,6300
2023-01-05,Dangote Sugar 1kg,Food,1200,2,2400
2023-01-05,Honeywell Flour,Food,2500,1,2500
2023-01-05,Bigi Cola 60cl,Beverages,200,11,2200
2023-01-05,Nescafe Sachet,Beverages,150,11,1650
2023-01-05,Maggi Cubes,Food,50,26,1300
2023-01-05,Ribena Juice,Beverages,250,10,2500
2023-01-05,Morning Fresh,Toiletries,1200,2,2400
2023-01-05,Cowbell Sachet,Beverages,100,22,2200
2023-01-06,Indomie Noodles,Food,150,27,4050
2023-01-06,Golden Morn,Food,800,8,6400
2023-01-06,Milo Sachet,Beverages,100,21,2100
2023-01-06,Peak Milk Tin,Food,3500,3,10500
2023-01-06,Coca Cola 60cl,Beverages,300,9,2700
2023-01-06,Malta Guinness,Beverages,350,13,4550
2023-01-06,Close Up Toothpaste,Toiletries,500,1,500
2023-01-06,Omo Detergent,Toiletries,400,4,1600
2023-01-06,Dettol Soap,Toiletries,600,2,1200
2023-01-06,Vaseline Jelly,Toiletries,700,5,3500
2023-01-06,Titus Sardine,Food,900,4,3600
2023-01-06,Dangote Sugar 1kg,Food,1200,2,2400
2023-01-06,Honeywell Flour,Food,2500,1,2500
2023-01-06,Bigi Cola 60cl,Beverages,200,8,1600
2023-01-06,Always Pads,Toiletries,800,5,4000
2023-01-06,Nescafe Sachet,Beverages,150,5,750
2023-01-06,Maggi Cubes,Food,50,36,1800
2023-01-06,Ribena Juice,Beverages,250,11,2750
2023-01-06,Morning Fresh,Toiletries,1200,3,3600
2023-01-06,Cowbell Sachet,Beverages,100,17,1700
2023-01-07,Indomie Noodles,Food,150,13,1950
2023-01-07,Golden Morn,Food,800,7,5600
2023-01-07,Milo Sachet,Beverages,100,26,2600
2023-01-07,Peak Milk Tin,Food,3500,2,7000
2023-01-07,Coca Cola 60cl,Beverages,300,22,6600
2023-01-07,Malta Guinness,Beverages,350,12,4200
2023-01-07,Close Up Toothpaste,Toiletries,500,3,1500
2023-01-07,Omo Detergent,Toiletries,400,8,3200
2023-01-07,Dettol Soap,Toiletries,600,2,1200
2023-01-07,Titus Sardine,Food,900,10,9000
2023-01-07,Dangote Sugar 1kg,Food,1200,8,9600
2023-01-07,Honeywell Flour,Food,2500,6,15000
2023-01-07,Bigi Cola 60cl,Beverages,200,8,1600
2023-01-07,Always Pads,Toiletries,800,4,3200
2023-01-07,Nescafe Sachet,Beverages,150,6,900
2023-01-07,Maggi Cubes,Food,50,28,1400
2023-01-07,Ribena Juice,Beverages,250,10,2500
2023-01-07,Morning Fresh,Toiletries,1200,2,2400
2023-01-07,Cowbell Sachet,Beverages,100,8,800
2023-01-08,Indomie Noodles,Food,150,4,600
2023-01-08,Golden Morn,Food,800,3,2400
2023-01-08,Milo Sachet,Beverages,100,4,400
2023-01-08,Coca Cola 60cl,Beverages,300,3,900
2023-01-08,Malta Guinness,Beverages,350,3,1050
2023-01-08,Close Up Toothpaste,Toiletries,500,2,1000
2023-01-08,Omo Detergent,Toiletries,400,2,800
2023-01-08,Vaseline Jelly,Toiletries,700,2,1400
2023-01-08,Titus Sardine,Food,900,1,900
2023-01-08,Dangote Sugar 1kg,Food,1200,3,3600
2023-01-08,Honeywell Flour,Food,2500,1,2500
2023-01-08,Bigi Cola 60cl,Beverages,200,5,1000
2023-01-08,Always Pads,Toiletries,800,1,800
2023-01-08,Nescafe Sachet,Beverages,150,2,300
2023-01-08,Maggi Cubes,Food,50,8,400
2023-01-08,Ribena Juice,Beverages,250,3,750
2023-01-08,Morning Fresh,Toiletries,1200,1,1200
2023-01-08,Cowbell Sachet,Beverages,100,5,500
2023-01-09,Indomie Noodles,Food,150,15,2250
2023-01-09,Golden Morn,Food,800,6,4800
2023-01-09,Milo Sachet,Beverages,100,15,1500
2023-01-09,Peak Milk Tin,Food,3500,1,3500
2023-01-09,Coca Cola 60cl,Beverages,300,11,3300
2023-01-09,Malta Guinness,Beverages,350,15,5250
2023-01-09,Close Up Toothpaste,Toiletries,500,3,1500
2023-01-09,Omo Detergent,Toiletries,400,8,3200
2023-01-09,Dettol Soap,Toiletries,600,3,1800
2023-01-09,Vaseline Jelly,Toiletries,700,2,1400
2023-01-09,Titus Sardine,Food,900,3,2700
2023-01-09,Dangote Sugar 1kg,Food,1200,5,6000
2023-01-09,Honeywell Flour,Food,2500,1,2500
2023-01-09,Bigi Cola 60cl,Beverages,200,16,3200
2023-01-09,Always Pads,Toiletries,800,5,4000
2023-01-09,Nescafe Sachet,Beverages,150,11,1650
2023-01-09,Maggi Cubes,Food,50,33,1650
2023-01-09,Ribena Juice,Beverages,250,8,2000
2023-01-09,Morning Fresh,Toiletries,1200,2,2400
2023-01-09,Cowbell Sachet,Beverages,100,13,1300
2023-01-10,Indomie Noodles,Food,150,17,2550
2023-01-10,Golden Morn,Food,800,8,6400
2023-01-10,Milo Sachet,Beverages,100,15,1500
2023-01-10,Peak Milk Tin,Food,3500,4,14000
2023-01-10,Coca Cola 60cl,Beverages,300,12,3600
2023-01-10,Malta Guinness,Beverages,350,13,4550
2023-01-10,Close Up Toothpaste,Toiletries,500,5,2500
2023-01-10,Omo Detergent,Toiletries,400,4,1600
2023-01-10,Dettol Soap,Toiletries,600,4,2400
2023-01-10,Vaseline Jelly,Toiletries,700,2,1400
2023-01-10,Titus Sardine,Food,900,6,5400
2023-01-10,Dangote Sugar 1kg,Food,1200,9,10800
2023-01-10,Honeywell Flour,Food,2500,2,5000
2023-01-10,Bigi Cola 60cl,Beverages,200,12,2400
2023-01-10,Always Pads,Toiletries,800,6,4800
2023-01-10,Nescafe Sachet,Beverages,150,8,1200
2023-01-10,Maggi Cubes,Food,50,25,1250
2023-01-10,Ribena Juice,Beverages,250,8,2000
2023-01-10,Morning Fresh,Toiletries,1200,1,1200
2023-01-10,Cowbell Sachet,Beverages,100,14,1400
2023-01-11,Indomie Noodles,Food,150,16,2400
2023-01-11,Golden Morn,Food,800,3,2400
2023-01-11,Milo Sachet,Beverages,100,33,3300
2023-01-11,Peak Milk Tin,Food,3500,1,3500
2023-01-11,Coca Cola 60cl,Beverages,300,15,4500
2023-01-11,Malta Guinness,Beverages,350,13,4550
2023-01-11,Close Up Toothpaste,Toiletries,500,3,1500
2023-01-11,Omo Detergent,Toiletries,400,4,1600
2023-01-11,Dettol Soap,Toiletries,600,3,1800
2023-01-11,Vaseline Jelly,Toiletries,700,1,700
2023-01-11,Titus Sardine,Food,900,6,5400
2023-01-11,Dangote Sugar 1kg,Food,1200,4,4800
2023-01-11,Honeywell Flour,Food,2500,2,5000
2023-01-11,Bigi Cola 60cl,Beverages,200,9,1800
2023-01-11,Always Pads,Toiletries,800,1,800
2023-01-11,Nescafe Sachet,Beverages,150,9,1350
2023-01-11,Maggi Cubes,Food,50,19,950
2023-01-11,Ribena Juice,Beverages,250,5,1250
2023-01-11,Morning Fresh,Toiletries,1200,1,1200
2023-01-11,Cowbell Sachet,Beverages,100,14,1400
2023-01-12,Indomie Noodles,Food,150,14,2100
2023-01-12,Golden Morn,Food,800,6,4800
2023-01-12,Milo Sachet,Beverages,100,27,2700
2023-01-12,Peak Milk Tin,Food,3500,3,10500
2023-01-12,Coca Cola 60cl,Beverages,300,11,3300
2023-01-12,Malta Guinness,Beverages,350,12,4200
2023-01-12,Close Up Toothpaste,Toiletries,500,4,2000
2023-01-12,Omo Detergent,Toiletries,400,1,400
2023-01-12,Dettol Soap,Toiletries,600,3,1800
2023-01-12,Vaseline Jelly,Toiletries,700,3,2100
2023-01-12,Dangote Sugar 1kg,Food,1200,9,10800
2023-01-12,Honeywell Flour,Food,2500,1,2500
2023-01-12,Bigi Cola 60cl,Beverages,200,7,1400
2023-01-12,Always Pads,Toiletries,800,2,1600
2023-01-12,Nescafe Sachet,Beverages,150,9,1350
2023-01-12,Maggi Cubes,Food,50,24,1200
2023-01-12,Ribena Juice,Beverages,250,5,1250
2023-01-12,Cowbell Sachet,Beverages,100,18,1800
2023-01-13,Indomie Noodles,Food,150,20,3000
2023-01-13,Golden Morn,Food,800,7,5600
2023-01-13,Milo Sachet,Beverages,100,29,2900
2023-01-13,Peak Milk Tin,Food,3500,2,7000
2023-01-13,Coca Cola 60cl,Beverages,300,14,4200
2023-01-13,Malta Guinness,Beverages,350,12,4200
2023-01-13,Close Up Toothpaste,Toiletries,500,3,1500
2023-01-13,Omo Detergent,Toiletries,400,5,2000
2023-01-13,Dettol Soap,Toiletries,600,2,1200
2023-01-13,Vaseline Jelly,Toiletries,700,5,3500
2023-01-13,Titus Sardine,Food,900,4,3600
2023-01-13,Dangote Sugar 1kg,Food,1200,4,4800
2023-01-13,Honeywell Flour,Food,2500,2,5000
2023-01-13,Bigi Cola 60cl,Beverages,200,10,2000
2023-01-13,Always Pads,Toiletries,800,5,4000
2023-01-13,Nescafe Sachet,Beverages,150,4,600
2023-01-13,Maggi Cubes,Food,50,38,1900
2023-01-13,Ribena Juice,Beverages,250,12,3000
2023-01-13,Cowbell Sachet,Beverages,100,14,1400
2023-01-14,Indomie Noodles,Food,150,15,2250
2023-01-14,Golden Morn,Food,800,1,800
2023-01-14,Milo Sachet,Beverages,100,19,1900
2023-01-14,Peak Milk Tin,Food,3500,3,10500
2023-01-14,Coca Cola 60cl,Beverages,300,13,3900
2023-01-14,Malta Guinness,Beverages,350,17,5950
2023-01-14,Close Up Toothpaste,Toiletries,500,3,1500
2023-01-14,Omo Detergent,Toiletries,400,6,2400
2023-01-14,Dettol Soap,Toiletries,600,2,1200
2023-01-14,Titus Sardine,Food,900,8,7200
2023-01-14,Dangote Sugar 1kg,Food,1200,6,7200
2023-01-14,Honeywell Flour,Food,2500,2,5000
2023-01-14,Bigi Cola 60cl,Beverages,200,14,2800
2023-01-14,Always Pads,Toiletries,800,2,1600
2023-01-14,Nescafe Sachet,Beverages,150,6,900
2023-01-14,Maggi Cubes,Food,50,34,1700
2023-01-14,Ribena Juice,Beverages,250,15,3750
2023-01-14,Morning Fresh,Toiletries,1200,2,2400
2023-01-14,Cowbell Sachet,Beverages,100,10,1000
2023-01-15,Indomie Noodles,Food,150,5,750
2023-01-15,Golden Morn,Food,800,4,3200
2023-01-15,Milo Sachet,Beverages,100,11,1100
2023-01-15,Peak Milk Tin,Food,3500,1,3500
2023-01-15,Coca Cola 60cl,Beverages,300,4,1200
2023-01-15,Malta Guinness,Beverages,350,6,2100
2023-01-15,Close Up Toothpaste,Toiletries,500,1,500
2023-01-15,Vaseline Jelly,Toiletries,700,1,700
2023-01-15,Titus Sardine,Food,900,2,1800
2023-01-15,Dangote Sugar 1kg,Food,1200,3,3600
2023-01-15,Honeywell Flour,Food,2500,2,5000
2023-01-15,Bigi Cola 60cl,Beverages,200,5,1000
2023-01-15,Always Pads,Toiletries,800,2,1600
2023-01-15,Nescafe Sachet,Beverages,150,4,600
2023-01-15,Maggi Cubes,Food,50,16,800
2023-01-15,Ribena Juice,Beverages,250,1,250
2023-01-15,Morning Fresh,Toiletries,1200,1,1200
2023-01-15,Cowbell Sachet,Beverages,100,10,1000
2023-01-16,Indomie Noodles,Food,150,19,2850
2023-01-16,Golden Morn,Food,800,4,3200
2023-01-16,Milo Sachet,Beverages,100,16,1600
2023-01-16,Coca Cola 60cl,Beverages,300,15,4500
2023-01-16,Malta Guinness,Beverages,350,14,4900
2023-01-16,Close Up Toothpaste,Toiletries,500,1,500
2023-01-16,Omo Detergent,Toiletries,400,4,1600
2023-01-16,Dettol Soap,Toiletries,600,3,1800
2023-01-16,Vaseline Jelly,Toiletries,700,1,700
2023-01-16,Titus Sardine,Food,900,4,3600
2023-01-16,Dangote Sugar 1kg,Food,1200,4,4800
2023-01-16,Honeywell Flour,Food,2500,1,2500
2023-01-16,Bigi Cola 60cl,Beverages,200,3,600
2023-01-16,Always Pads,Toiletries,800,2,1600
2023-01-16,Nescafe Sachet,Beverages,150,7,1050
2023-01-16,Maggi Cubes,Food,50,38,1900
2023-01-16,Ribena Juice,Beverages,250,11,2750
2023-01-16,Morning Fresh,Toiletries,1200,3,3600
2023-01-16,Cowbell Sachet,Beverages,100,7,700
2023-01-17,Indomie Noodles,Food,150,13,1950
2023-01-17,Golden Morn,Food,800,6,4800
2023-01-17,Milo Sachet,Beverages,100,22,2200
2023-01-17,Peak Milk Tin,Food,3500,4,14000
2023-01-17,Coca Cola 60cl,Beverages,300,16,4800
2023-01-17,Malta Guinness,Beverages,350,10,3500
2023-01-17,Close Up Toothpaste,Toiletries,500,4,2000
2023-01-17,Omo Detergent,Toiletries,400,5,2000
2023-01-17,Dettol Soap,Toiletries,600,4,2400
2023-01-17,Vaseline Jelly,Toiletries,700,2,1400
2023-01-17,Titus Sardine,Food,900,6,5400
2023-01-17,Dangote Sugar 1kg,Food,1200,8,9600
2023-01-17,Honeywell Flour,Food,2500,2,5000
2023-01-17,Bigi Cola 60cl,Beverages,200,10,2000
2023-01-17,Always Pads,Toiletries,800,4,3200
2023-01-17,Nescafe Sachet,Beverages,150,6,900
2023-01-17,Maggi Cubes,Food,50,24,1200
2023-01-17,Ribena Juice,Beverages,250,3,750
2023-01-17,Morning Fresh,Toiletries,1200,5,6000
2023-01-17,Cowbell Sachet,Beverages,100,21,2100
2023-01-18,Indomie Noodles,Food,150,11,1650
2023-01-18,Golden Morn,Food,800,3,2400
2023-01-18,Milo Sachet,Beverages,100,15,1500
2023-01-18,Peak Milk Tin,Food,3500,3,10500
2023-01-18,Coca Cola 60cl,Beverages,300,24,7200
2023-01-18,Malta Guinness,Beverages,350,15,5250
2023-01-18,Close Up Toothpaste,Toiletries,500,3,1500
2023-01-18,Omo Detergent,Toiletries,400,2,800
2023-01-18,Dettol Soap,Toiletries,600,3,1800
2023-01-18,Vaseline Jelly,Toiletries,700,3,2100
2023-01-18,Titus Sardine,Food,900,8,7200
2023-01-18,Dangote Sugar 1kg,Food,1200,10,12000
2023-01-18,Honeywell Flour,Food,2500,7,17500
2023-01-18,Bigi Cola 60cl,Beverages,200,11,2200
2023-01-18,Always Pads,Toiletries,800,5,4000
2023-01-18,Nescafe Sachet,Beverages,150,4,600
2023-01-18,Maggi Cubes,Food,50,31,1550
2023-01-18,Ribena Juice,Beverages,250,4,1000
2023-01-18,Morning Fresh,Toiletries,1200,3,3600
2023-01-18,Cowbell Sachet,Beverages,100,14,1400
2023-01-19,Indomie Noodles,Food,150,18,2700
2023-01-19,Golden Morn,Food,800,2,1600
2023-01-19,Milo Sachet,Beverages,100,20,2000
2023-01-19,Peak Milk Tin,Food,3500,6,21000
2023-01-19,Coca Cola 60cl,Beverages,300,10,3000
2023-01-19,Malta Guinness,Beverages,350,9,3150
2023-01-19,Close Up Toothpaste,Toiletries,500,3,1500
2023-01-19,Omo Detergent,Toiletries,400,6,2400
2023-01-19,Dettol Soap,Toiletries,600,1,600
2023-01-19,Vaseline Jelly,Toiletries,700,2,1400
2023-01-19,Titus Sardine,Food,900,3,2700
2023-01-19,Dangote Sugar 1kg,Food,1200,10,12000
2023-01-19,Honeywell Flour,Food,2500,2,5000
2023-01-19,Bigi Cola 60cl,Beverages,200,11,2200
2023-01-19,Always Pads,Toiletries,800,5,4000
2023-01-19,Nescafe Sachet,Beverages,150,8,1200
2023-01-19,Maggi Cubes,Food,50,30,1500
2023-01-19,Ribena Juice,Beverages,250,8,2000
2023-01-19,Morning Fresh,Toiletries,1200,4,4800
2023-01-19,Cowbell Sachet,Beverages,100,16,1600
2023-01-20,Indomie Noodles,Food,150,10,1500
2023-01-20,Golden Morn,Food,800,5,4000
2023-01-20,Milo Sachet,Beverages,100,21,2100
2023-01-20,Peak Milk Tin,Food,3500,2,7000
2023-01-20,Coca Cola 60cl,Beverages,300,19,5700
2023-01-20,Malta Guinness,Beverages,350,11,3850
2023-01-20,Close Up Toothpaste,Toiletries,500,6,3000
2023-01-20,Omo Detergent,Toiletries,400,3,1200
2023-01-20,Dettol Soap,Toiletries,600,3,1800
2023-01-20,Vaseline Jelly,Toiletries,700,2,1400
2023-01-20,Titus Sardine,Food,900,5,4500
2023-01-20,Dangote Sugar 1kg,Food,1200,10,12000
2023-01-20,Honeywell Flour,Food,2500,1,2500
2023-01-20,Bigi Cola 60cl,Beverages,200,10,2000
2023-01-20,Always Pads,Toiletries,800,2,1600
2023-01-20,Nescafe Sachet,Beverages,150,12,1800
2023-01-20,Maggi Cubes,Food,50,34,1700
2023-01-20,Ribena Juice,Beverages,250,7,1750
2023-01-20,Morning Fresh,Toiletries,1200,5,6000
2023-01-20,Cowbell Sachet,Beverages,100,15,1500
2023-01-21,Indomie Noodles,Food,150,21,3150
2023-01-21,Golden Morn,Food,800,4,3200
2023-01-21,Milo Sachet,Beverages,100,33,3300
2023-01-21,Peak Milk Tin,Food,3500,3,10500
2023-01-21,Coca Cola 60cl,Beverages,300,13,3900
2023-01-21,Malta Guinness,Beverages,350,12,4200
2023-01-21,Close Up Toothpaste,Toiletries,500,3,1500
2023-01-21,Omo Detergent,Toiletries,400,4,1600
2023-01-21,Dettol Soap,Toiletries,600,3,1800
2023-01-21,Titus Sardine,Food,900,3,2700
2023-01-21,Dangote Sugar 1kg,Food,1200,10,12000
2023-01-21,Honeywell Flour,Food,2500,2,5000
2023-01-21,Bigi Cola 60cl,Beverages,200,16,3200
2023-01-21,Always Pads,Toiletries,800,1,800
2023-01-21,Nescafe Sachet,Beverages,150,5,750
2023-01-21,Maggi Cubes,Food,50,28,1400
2023-01-21,Ribena Juice,Beverages,250,6,1500
2023-01-21,Morning Fresh,Toiletries,1200,3,3600
2023-01-21,Cowbell Sachet,Beverages,100,15,1500
2023-01-22,Indomie Noodles,Food,150,11,1650
2023-01-22,Golden Morn,Food,800,2,1600
2023-01-22,Milo Sachet,Beverages,100,8,800
2023-01-22,Peak Milk Tin,Food,3500,1,3500
2023-01-22,Coca Cola 60cl,Beverages,300,4,1200
2023-01-22,Malta Guinness,Beverages,350,2,700
2023-01-22,Omo Detergent,Toiletries,400,3,1200
2023-01-22,Dettol Soap,Toiletries,600,1,600
2023-01-22,Vaseline Jelly,Toiletries,700,1,700
2023-01-22,Dangote Sugar 1kg,Food,1200,2,2400
2023-01-22,Bigi Cola 60cl,Beverages,200,1,200
2023-01-22,Always Pads,Toiletries,800,2,1600
2023-01-22,Nescafe Sachet,Beverages,150,3,450
2023-01-22,Maggi Cubes,Food,50,12,600
2023-01-22,Ribena Juice,Beverages,250,2,500
2023-01-22,Morning Fresh,Toiletries,1200,2,2400
2023-01-22,Cowbell Sachet,Beverages,100,9,900
2023-01-23,Indomie Noodles,Food,150,16,2400
2023-01-23,Golden Morn,Food,800,5,4000
2023-01-23,Milo Sachet,Beverages,100,28,2800
2023-01-23,Peak Milk Tin,Food,3500,5,17500
2023-01-23,Coca Cola 60cl,Beverages,300,17,5100
2023-01-23,Malta Guinness,Beverages,350,14,4900
2023-01-23,Close Up Toothpaste,Toiletries,500,6,3000
2023-01-23,Omo Detergent,Toiletries,400,4,1600
2023-01-23,Dettol Soap,Toiletries,600,5,3000
2023-01-23,Vaseline Jelly,Toiletries,700,2,1400
2023-01-23,Titus Sardine,Food,900,5,4500
2023-01-23,Dangote Sugar 1kg,Food,1200,7,8400
2023-01-23,Honeywell Flour,Food,2500,3,7500
2023-01-23,Bigi Cola 60cl,Beverages,200,16,3200
2023-01-23,Nescafe Sachet,Beverages,150,7,1050
2023-01-23,Maggi Cubes,Food,50,25,1250
2023-01-23,Ribena Juice,Beverages,250,9,2250
2023-01-23,Morning Fresh,Toiletries,1200,3,3600
2023-01-23,Cowbell Sachet,Beverages,100,16,1600
2023-01-24,Indomie Noodles,Food,150,19,2850
2023-01-24,Golden Morn,Food,800,9,7200
2023-01-24,Milo Sachet,Beverages,100,12,1200
2023-01-24,Peak Milk Tin,Food,3500,4,14000
2023-01-24,Coca Cola 60cl,Beverages,300,9,2700
2023-01-24,Malta Guinness,Beverages,350,10,3500
2023-01-24,Close Up Toothpaste,Toiletries,500,6,3000
2023-01-24,Omo Detergent,Toiletries,400,6,2400
2023-01-24,Dettol Soap,Toiletries,600,2,1200
2023-01-24,Vaseline Jelly,Toiletries,700,1,700
2023-01-24,Titus Sardine,Food,900,2,1800
2023-01-24,Dangote Sugar 1kg,Food,1200,9,10800
2023-01-24,Honeywell Flour,Food,2500,2,5000
2023-01-24,Bigi Cola 60cl,Beverages,200,15,3000
2023-01-24,Always Pads,Toiletries,800,4,3200
2023-01-24,Nescafe Sachet,Beverages,150,6,900
2023-01-24,Maggi Cubes,Food,50,24,1200
2023-01-24,Ribena Juice,Beverages,250,7,1750
2023-01-24,Cowbell Sachet,Beverages,100,10,1000
2023-01-25,Indomie Noodles,Food,150,16,2400
2023-01-25,Golden Morn,Food,800,6,4800
2023-01-25,Milo Sachet,Beverages,100,20,2000
2023-01-25,Peak Milk Tin,Food,3500,3,10500
2023-01-25,Coca Cola 60cl,Beverages,300,10,3000
2023-01-25,Malta Guinness,Beverages,350,12,4200
2023-01-25,Close Up Toothpaste,Toiletries,500,1,500
2023-01-25,Omo Detergent,Toiletries,400,5,2000
2023-01-25,Dettol Soap,Toiletries,600,2,1200
2023-01-25,Vaseline Jelly,Toiletries,700,2,1400
2023-01-25,Titus Sardine,Food,900,6,5400
2023-01-25,Dangote Sugar 1kg,Food,1200,7,8400
2023-01-25,Honeywell Flour,Food,2500,2,5000
2023-01-25,Bigi Cola 60cl,Beverages,200,8,1600
2023-01-25,Always Pads,Toiletries,800,6,4800
2023-01-25,Nescafe Sachet,Beverages,150,7,1050
2023-01-25,Maggi Cubes,Food,50,28,1400
2023-01-25,Ribena Juice,Beverages,250,12,3000
2023-01-25,Morning Fresh,Toiletries,1200,2,2400
2023-01-25,Cowbell Sachet,Beverages,100,13,1300
2023-01-26,Indomie Noodles,Food,150,24,3600
2023-01-26,Golden Morn,Food,800,5,4000
2023-01-26,Milo Sachet,Beverages,100,15,1500
2023-01-26,Peak Milk Tin,Food,3500,1,3500
2023-01-26,Coca Cola 60cl,Beverages,300,16,4800
2023-01-26,Malta Guinness,Beverages,350,7,2450
2023-01-26,Close Up Toothpaste,Toiletries,500,2,1000
2023-01-26,Omo Detergent,Toiletries,400,6,2400
2023-01-26,Dettol Soap,Toiletries,600,5,3000
2023-01-26,Vaseline Jelly,Toiletries,700,3,2100
2023-01-26,Titus Sardine,Food,900,5,4500
2023-01-26,Dangote Sugar 1kg,Food,1200,7,8400
2023-01-26,Honeywell Flour,Food,2500,4,10000
2023-01-26,Bigi Cola 60cl,Beverages,200,14,2800
2023-01-26,Always Pads,Toiletries,800,2,1600
2023-01-26,Nescafe Sachet,Beverages,150,9,1350
2023-01-26,Maggi Cubes,Food,50,25,1250
2023-01-26,Ribena Juice,Beverages,250,11,2750
2023-01-26,Morning Fresh,Toiletries,1200,4,4800
2023-01-26,Cowbell Sachet,Beverages,100,14,1400
2023-01-27,Indomie Noodles,Food,150,15,2250
2023-01-27,Golden Morn,Food,800,4,3200
2023-01-27,Milo Sachet,Beverages,100,18,1800
2023-01-27,Peak Milk Tin,Food,3500,2,7000
2023-01-27,Coca Cola 60cl,Beverages,300,16,4800
2023-01-27,Malta Guinness,Beverages,350,5,1750
